Airport;lat;lng
DIYARBAKIR airport;37.8931;40.1011
ERZINCAN airport;39.7153;39.5847
ERZURUM airport;39.9567;41.1717
KARS/HARAKANI airport;40.5736;43.1167
TRABZON airport;41.0069;39.8017
VAN/FERIT MELEN airport;38.4556;43.3331
BATMAN airport;37.9308;41.1114
MUS airport;38.7497;41.6708
SIIRT airport;37.9744;41.8383
SINOP airport;42.0153;34.8436
KAHRAMANMARAS airport;37.525;36.9539
AGRI/AHMED-I HANI airport;39.6644;43.0336
ADIYAMAN airport;37.7347;38.4736
MARDIN airport;37.2272;40.6308
SANLIURFA/GAP airport;37.4578;38.8317
IGDIR airport;39.9936;43.8744
BINGOL airport;38.8592;40.5978
SIRNAK/SERAFETTIN ELCI airport;37.3664;42.3047
HAKKARI/YUKSEKOVA SELAHADDIN EYYUBI airport;37.5647;44.2575
HATAY airport;36.3159;36.2809
ISPARTA/S.DEMIREL airport;37.8576;30.3444
BALIKESIR/KOCA SEYIT airport;39.5539;27.0125
MUGLA/MILAS-BODRUM airport;37.2514;27.6642
GAZIPASA-ALANYA airport;36.3022;32.3056
SAMSUN/CARSAMBA airport;41.2597;36.5683
ISTANBUL/SABIHA GOKCEN airport;40.8983;29.3131
GOKCEADA airport;40.1983;25.8833
ISTANBUL/ISTANBUL HAVALIMANI airport;41.2617;28.7431
RIZE-ARTVIN;40.9995;40.9004
BELFAST/ALDERGROVE airport;54.6547;6.2166
BELFAST/CITY airport;54.6186;5.8719
LONDONDERRY/EGLINTON airport;55.0375;7.2847
BIRMINGHAM airport;52.4539;1.7489
COVENTRY airport;52.3739;1.4789
GLOUCESTERSHIRE airport;51.8797;2.1642
MANCHESTER airport;53.3536;2.2748
DONCASTER SHEFFIELD airport;53.4739;1.0189
NEWQUAY airport;50.4428;5.0194
CAMPBELTOWN airport;55.4389;5.6881
LERWICK/TINGWALL airport;60.1172;1.1714
CARDIFF airport;51.3967;3.3431
BRISTOL airport;51.3828;2.7161
LIVERPOOL airport;53.3336;2.1528
LONDON LUTON airport;51.8747;0.3683
BOURNEMOUTH airport;50.78;1.8419
SOUTHAMPTON airport;50.9506;1.3569
BIGGIN HILL airport;51.3325;0.0336
LONDON GATWICK airport;51.1537;0.1821
LONDON/CITY airport;51.5053;0.0553
LONDON HEATHROW airport;51.4703;0.4536
SOUTHEND airport;51.5714;0.6953
LYDD airport;50.9575;0.9497
MANSTON airport;51.3414;1.3367
BLACKPOOL airport;53.7703;3.0339
HUMBERSIDE airport;53.5744;0.345
LEEDS BRADFORD airport;53.8683;1.6606
HAWARDEN airport;53.2047;2.9867
NEWCASTLE airport;55.0347;1.6917
DURHAM TEES VALLEY airport;54.505;1.4297
EAST MIDLANDS airport;52.8317;1.3283
KIRKWALL airport;58.9567;2.9067
SUMBURGH airport;59.8778;1.2889
WICK airport;58.455;3.0908
ABERDEEN/DYCE airport;57.2025;2.2039
INVERNESS airport;57.545;4.0475
GLASGOW airport;55.8717;4.4331
EDINBURGH airport;55.95;3.3725
ISLAY airport;55.7;6.2583
PRESTWICK airport;55.5097;4.5958
BENBECULA airport;57.4722;7.3719
SCATSTA airport;60.4394;1.2858
DUNDEE airport;56.4636;2.9739
STORNOWAY airport;58.2133;6.3267
BARRA airport;57.025;7.4475
TIREE airport;56.4986;6.8847
CAMBRIDGE airport;52.2178;0.1742
NORWICH airport;52.6758;1.2778
LONDON STANSTED airport;51.8848;0.2371
EXETER airport;50.7347;3.4131
OXFORD/KIDLINGTON airport;51.8344;1.3275
