Airport;lat;lng
KOZANI/FILIPPOS airport;40.3061;21.8475
LEROS airport;37.1996;26.8489
LIMNOS/IFAISTOS airport;39.9142;25.2347
MEGARA airport;37.9989;23.3328
MIKONOS airport;37.4333;25.3333
MILOS airport;36.7032;24.475
MITILINI/ODYSSEAS ELYTIS airport;39.0667;26.5833
NAXOS airport;37.0864;25.5036
PAROS airport;37.0208;25.1275
ASTYPALAIA airport;36.5833;26.9167
PREVEZA/AKTION airport;38.9257;20.767
RODOS/DIAGORAS airport;36.405;28.0864
ARAXOS airport;38.1504;21.4285
CHANIA/IOANNIS DASKALOGIANNIS airport;35.5317;24.1497
SKIATHOS/ALEXANDROS PAPADIAMANDIS airport;39.1672;23.4908
SAMOS/ARISTARCHOS OF SAMOS airport;37.6897;26.8392
SYROS/DIMITRIOS VIKELAS airport;37.4367;24.9497
SANTORINI airport;36.3986;25.4794
SITIA/VITSENTZOS KORNAROS airport;35.2167;26.1
SKIROS airport;38.8258;24.5028
THESSALONIKI/MAKEDONIA airport;40.5208;22.9723
ZAKINTHOS/DIONISIOS SOLOMOS airport;37.7508;20.8956
FUERTEVENTURA airport;28.452;13.8647
LA GOMERA airport;28.0772;17.2183
HIERRO airport;27.8141;17.892
LA PALMA airport;28.6253;17.7556
GRAN CANARIA airport;27.9388;15.3861
LANZAROTE airport;28.9482;13.6331
TENERIFE SUR/REINA SOFIA airport;28.0445;16.5746
TENERIFE NORTE airport;28.4842;16.3411
MELILLA airport;35.2678;2.9567
ALICANTE airport;38.282;0.5593
ALMERIA airport;36.8443;2.4042
ASTURIAS airport;43.5653;6.082
CORDOBA airport;37.8427;4.8488
BILBAO airport;43.3033;2.9106
BARCELONA/EL PRAT airport;41.3005;2.0792
BADAJOZ airport;38.8914;6.8228
A CORUNA airport;43.3008;8.3773
GIRONA airport;41.9022;2.7576
GRANADA/FEDERICO GARCIA LORCA GRANADA-JAEN airport;37.1843;3.7778
IBIZA airport;38.8728;1.3719
JEREZ airport;36.745;6.0617
MURCIA/SAN JAVIER airport;37.7816;0.8142
LEON airport;42.5855;5.5484
ADOLFO SUAREZ MADRID-BARAJAS airport;40.4905;3.5668
MALAGA/COSTA DEL SOL airport;36.6749;4.4883
MENORCA airport;39.8667;4.2167
MURCIA/AEROPUERTO DE LA REGION DE MURCIA AIRPORT;37.7817;0.8142
PALMA DE MALLORCA airport;39.5517;2.7381
PAMPLONA airport;42.7667;1.6592
REUS airport;41.1444;1.1717
SALAMANCA airport;40.9507;5.5008
SAN SEBASTIAN airport;43.3562;1.7892
SANTIAGO airport;42.8963;8.4152
VALENCIA airport;39.4704;0.4897
VALLADOLID airport;41.7107;4.8517
VITORIA airport;42.8872;2.7303
VIGO airport;42.2335;8.6277
SEVE BALLESTEROS-SANTANDER airport;43.4243;3.8205
ZARAGOZA airport;41.6669;1.0427
SEVILLA airport;37.418;5.893
Unknown airport - FINLAND;62.7712;23.8647
ENONTEKIO airport;68.3619;23.4239
HALLI airport;61.9442;24.8119
HELSINKI-MALMI airport;60.2483;25.0442
HELSINKI-VANTAA airport;60.3172;24.963
IVALO airport;68.6075;25.8458
JOENSUU airport;62.6614;29.6053
JYVASKYLA airport;62.4005;25.6789
KAUHAVA airport;63.1258;23.045
KEMI-TORNIO airport;65.7761;24.5772
KAJAANI airport;64.2831;27.6975
KOKKOLA-PIETARSAARI airport;63.7144;23.1441
KUUSAMO airport;65.9926;29.2319
KITTILA airport;67.7011;24.8466
KUOPIO airport;63.0084;27.8028
LAPPEENRANTA airport;60.4851;28.1469
MARIEHAMN airport;60.1235;19.8973
MIKKELI airport;61.6881;27.662
OULU airport;64.9304;25.3524
PORI airport;61.4705;21.7981
ROVANIEMI airport;66.5645;25.8242
SAVONLINNA airport;61.9427;28.9482
SEINAJOKI airport;62.6264;22.8258
TAMPERE-PIRKKALA airport;61.4227;23.7027
TURKU airport;60.1504;22.2612
UTTI airport;60.8988;26.9388
VAASA airport;63.0504;21.7588
VARKAUS airport;62.1852;27.8488
DZAOUDZI airport;12.7936;45.281
LA REUNION-ROLAND GARROS airport;20.8906;55.5103
SAINT PIERRE PIERREFONDS airport;21.2897;55.4529
STRASBOURG airport System;48.5447;7.7739
LE TOUQUET-COTE D'OPALE airport;50.5097;1.6264
AGEN-LA GARENNE airport;44.1744;0.6033
BORDEAUX-MERIGNAC airport;44.8288;0.7153
BERGERAC-ROUMANIERE airport;44.839;0.5186
LA ROCHELLE-ILE DE RE airport;46.1738;1.196
POITIERS-BIARD airport;46.5878;0.3069
LIMOGES-BELLEGARDE airport;45.7196;1.1806
TOULOUSE/BLAGNAC airport;43.6358;1.3656
PAU-PYRENEES airport;43.3755;0.4005
TARBES LOURDES PYRENEES airport;43.1783;0.0078
ANGOULEME-BRIE-CHAMPNIERS airport;45.7481;0.2217
